epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,57.8858,1.81304,2.09177,1.8017,0.76835,0.70275,0.76514,0.52578,0.98683,0.97645,1.04957,0.00197849,0.000659498,0.00197849,0.000659498,0.00197849,0.000659498,0.00197849,0.000659498
2,104.887,1.1186,1.16564,1.27739,0.79195,0.77097,0.83885,0.63486,0.80712,0.78265,0.9652,0.00393911,0.00131304,0.00393911,0.00131304,0.00393911,0.00131304,0.00393911,0.00131304
3,149.604,0.9393,0.95424,1.15158,0.84774,0.79878,0.86837,0.67837,0.73884,0.67367,0.91364,0.00586012,0.00195337,0.00586012,0.00195337,0.00586012,0.00195337,0.00586012,0.00195337
4,192.911,0.91987,0.895,1.13258,0.86252,0.82148,0.88502,0.71445,0.68995,0.61635,0.89758,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,236.097,0.89044,0.84797,1.14002,0.8845,0.83588,0.90376,0.73643,0.65719,0.55946,0.87591,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,279.976,0.86671,0.81944,1.12343,0.86185,0.84961,0.89819,0.73157,0.64746,0.57735,0.8949,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,325.161,0.83307,0.7985,1.10902,0.89875,0.84074,0.91141,0.75997,0.6351,0.55035,0.88066,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,368.774,0.83376,0.78666,1.10847,0.89835,0.84862,0.91737,0.76497,0.6064,0.52893,0.88656,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,413.698,0.80574,0.75127,1.09381,0.88907,0.84663,0.91788,0.77494,0.58997,0.53004,0.86054,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,448.777,0.80585,0.74789,1.09649,0.92797,0.86556,0.9347,0.79118,0.5916,0.48834,0.86812,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,477.18,0.78825,0.72839,1.09089,0.91155,0.87167,0.93084,0.79323,0.56999,0.48531,0.84961,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,505.95,0.77451,0.71139,1.0812,0.91335,0.88215,0.9313,0.79754,0.55482,0.47762,0.85164,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,534.456,0.77172,0.70127,1.07503,0.91198,0.87737,0.93218,0.79608,0.55174,0.48361,0.83833,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,562.978,0.7703,0.70844,1.07747,0.92318,0.89175,0.9389,0.8139,0.53568,0.44582,0.81989,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,591.534,0.74847,0.68287,1.06463,0.92669,0.88829,0.9423,0.81326,0.52845,0.44481,0.81803,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,619.992,0.72845,0.67389,1.0564,0.90806,0.90536,0.94648,0.82109,0.53251,0.44408,0.84155,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,648.731,0.72541,0.65496,1.05501,0.93869,0.89544,0.95255,0.8237,0.52606,0.42532,0.83512,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,677.49,0.72395,0.64512,1.04853,0.93028,0.9027,0.95029,0.82753,0.51182,0.42314,0.82353,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,707.168,0.72167,0.65719,1.05011,0.92574,0.90659,0.95574,0.83894,0.50481,0.41656,0.83577,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,737.322,0.70599,0.6397,1.04678,0.93413,0.90441,0.95237,0.83555,0.50627,0.41865,0.83041,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,767.183,0.69364,0.64708,1.04129,0.94067,0.89393,0.95386,0.83395,0.50754,0.41572,0.82512,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,797.318,0.69497,0.62509,1.0437,0.94529,0.92007,0.96095,0.84276,0.4878,0.39368,0.81859,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
