epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.7878,2.03267,2.86329,1.91993,0.01606,0.91842,0.39397,0.19152,1.40368,2.54295,1.28875,0.00195556,0.000651852,0.00195556,0.000651852,0.00195556,0.000651852,0.00195556,0.000651852
2,63.7848,1.49919,2.35478,1.47116,0.85074,0.42489,0.64863,0.41567,1.12896,2.02407,1.10709,0.0039164,0.00130547,0.0039164,0.00130547,0.0039164,0.00130547,0.0039164,0.00130547
3,81.9209,1.32833,1.6992,1.35308,0.73822,0.70402,0.74655,0.50209,1.05368,1.24971,1.04035,0.00583764,0.00194588,0.00583764,0.00194588,0.00583764,0.00194588,0.00583764,0.00194588
4,99.8844,1.20138,1.42518,1.26025,0.78651,0.7021,0.77498,0.54534,0.93452,1.1662,0.97058,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,118.054,1.09323,1.26977,1.19958,0.82564,0.72855,0.81361,0.59058,0.87776,1.00613,0.93393,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,135.609,1.08943,1.22914,1.1967,0.8607,0.73865,0.83652,0.62797,0.82568,0.94452,0.90414,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,153.728,1.03224,1.1538,1.15867,0.82492,0.7616,0.84289,0.64352,0.81188,0.87038,0.90239,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,171.923,1.00354,1.10339,1.15589,0.86494,0.77012,0.85591,0.66299,0.78442,0.81592,0.90118,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,189.821,0.98603,1.06208,1.14477,0.86216,0.79114,0.86296,0.66607,0.78761,0.80527,0.88958,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,207.161,0.97487,1.0536,1.13828,0.84754,0.78622,0.8625,0.67167,0.78096,0.77265,0.88207,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,225.455,0.96253,1.02344,1.13019,0.90508,0.76445,0.87465,0.69665,0.73078,0.72114,0.86347,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,243.561,0.95146,0.99563,1.13008,0.87389,0.79817,0.8815,0.69652,0.72208,0.70386,0.86422,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,261.037,0.94146,0.97276,1.11876,0.86576,0.82088,0.88725,0.69915,0.74548,0.70128,0.87839,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,278.625,0.93787,0.9735,1.12352,0.89676,0.82208,0.8957,0.71749,0.69625,0.66489,0.84494,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,296.252,0.91277,0.94939,1.10405,0.90799,0.81199,0.8989,0.72983,0.67508,0.64772,0.83967,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,313.811,0.90811,0.9335,1.10571,0.9072,0.80028,0.89755,0.72423,0.69223,0.65069,0.84354,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,331.125,0.89735,0.92157,1.09198,0.90948,0.81013,0.89862,0.73021,0.67609,0.63247,0.84321,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,349.285,0.88741,0.9138,1.09509,0.89345,0.81378,0.90101,0.72888,0.68215,0.62776,0.84487,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,368.422,0.89323,0.89557,1.09479,0.90219,0.83677,0.90139,0.72759,0.6808,0.62902,0.84995,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,386.237,0.89017,0.90171,1.09719,0.91808,0.82755,0.90488,0.74041,0.66421,0.60916,0.8408,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,403.473,0.87635,0.88313,1.0863,0.89107,0.83985,0.9085,0.74908,0.65675,0.60426,0.82983,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,420.821,0.8493,0.85869,1.06948,0.89856,0.8256,0.90693,0.74719,0.64888,0.59683,0.81892,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,440.232,0.86226,0.8618,1.08036,0.88862,0.8481,0.91587,0.7622,0.62303,0.57332,0.82067,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,458.379,0.84513,0.83244,1.06993,0.92372,0.82599,0.91263,0.75884,0.62382,0.5603,0.81222,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,476.656,0.84374,0.8389,1.06649,0.90473,0.84815,0.91672,0.7663,0.6211,0.56033,0.81547,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,495.032,0.8156,0.80798,1.05453,0.91838,0.84459,0.92129,0.76731,0.61952,0.54831,0.81624,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,512.134,0.83217,0.82984,1.0672,0.90976,0.85302,0.92336,0.77317,0.60456,0.54458,0.80957,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,529.673,0.83617,0.82079,1.06971,0.91138,0.84177,0.92415,0.77718,0.60682,0.55424,0.81109,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,547.153,0.80216,0.806,1.05081,0.92318,0.85091,0.92231,0.77525,0.60407,0.53559,0.80641,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,564.755,0.81861,0.79464,1.06149,0.912,0.85997,0.9272,0.77928,0.60525,0.53119,0.80912,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,581.888,0.81658,0.79863,1.06074,0.92767,0.8478,0.9286,0.78569,0.58622,0.52513,0.79696,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,599.268,0.81025,0.81024,1.06093,0.90765,0.85795,0.93056,0.78532,0.58762,0.52868,0.79383,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,617.092,0.80334,0.79151,1.05283,0.92454,0.85091,0.93063,0.79024,0.58675,0.50272,0.79203,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,634.745,0.79076,0.78206,1.04537,0.92995,0.84957,0.92903,0.78532,0.58751,0.51015,0.78944,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,651.748,0.78657,0.7766,1.04689,0.92657,0.85654,0.93379,0.79386,0.56642,0.4977,0.78712,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,669.217,0.78766,0.74986,1.03747,0.91912,0.86639,0.93411,0.7885,0.57735,0.50044,0.79081,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,686.067,0.78842,0.76287,1.04448,0.91531,0.87693,0.93792,0.79754,0.57191,0.4888,0.78414,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,703.919,0.79306,0.77198,1.05232,0.92519,0.87201,0.93885,0.80033,0.5619,0.49091,0.78685,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,720.975,0.77525,0.7606,1.03386,0.91957,0.8699,0.93874,0.80029,0.56529,0.491,0.78923,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,738.085,0.77522,0.74624,1.0394,0.93522,0.86428,0.94223,0.80556,0.5609,0.48277,0.78696,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,754.949,0.7772,0.7398,1.0355,0.94075,0.86568,0.94199,0.80503,0.55024,0.47207,0.78236,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,772.241,0.74748,0.71839,1.02392,0.92246,0.88683,0.94011,0.80675,0.55215,0.46784,0.78098,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,789.129,0.76312,0.74049,1.03004,0.93341,0.88045,0.94706,0.81212,0.54561,0.46859,0.7768,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,806.427,0.76163,0.73724,1.03254,0.92884,0.88127,0.94362,0.80904,0.54509,0.47167,0.785,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,823.592,0.74779,0.72028,1.0262,0.93708,0.86934,0.94326,0.81059,0.54795,0.45439,0.78027,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
